Comment,Designator,Footprint,LCSC
"C100nF","C1,C5,C7","Capacitor_SMD:C_0805_2012Metric","C49678"
"C10uF","C2","Capacitor_SMD:C_1206_3216Metric","C13585"
"C4.7uF","C3","Capacitor_SMD:C_1206_3216Metric","C29823"
"C_330uF","C4","Capacitor_SMD:CP_Elec_10x10","C249985"
"C22nF 50V","C6","Capacitor_SMD:C_0805_2012Metric","C1729"
"C2.2-4.7uF ceramic","C8","Capacitor_SMD:C_1206_3216Metric","C29823"
"D_TVS_30V","D1","Diode_SMD:D_SOD-123","C553410"
"LED","D2","LED_SMD:LED_0805_2012Metric","C84256"
"D_TVS_5V","D3","Diode_SMD:D_SOD-123","C478011"
"R10k","R1,R3","Resistor_SMD:R_0805_2012Metric","C17415"
"R1k","R10","Resistor_SMD:R_0805_2012Metric","C17513"
"R100mOHM","R11,R12","Resistor_SMD:R_2010_5025Metric","C175979"
"R2k","R2","Resistor_SMD:R_0805_2012Metric","C17604"
"R330","R4","Resistor_SMD:R_0805_2012Metric","C17630"
"R33k","R5,R6,R7,R8,R9","Resistor_SMD:R_0805_2012Metric","C17633"
"SW_Push","SW1","Button_Switch_SMD:SW_Push_1P1T_NO_CK_KSC6xxJ","C318884"
"TMC2209-LA","U1","components:QFN50P500X500X90-29N","C465949"
